event_id,datetime,timestamp_desc,source,source_long,message,parser,display_name,tag,normalized
1,2022-01-15T08:45:43+00:00,Recorded Time,LOG,Apache Access Log,http_request: GET / HTTP/1.1 from: 10.35.33.116 code: 200 user_agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML  like Gecko) HeadlessChrome/95.0.4638.69 Safari/537.36,text/apache_access,OS:evidences\\apache2\\intranet.price.fox.org-access.log.5,-,http_request: GET / HTTP/1.1 from: 10.35.33.116 code: 200 user_agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML  like Gecko) HeadlessChrome/95.0.4638.69 Safari/537.36
2,2022-01-15T08:45:43+00:00,Recorded Time,LOG,Apache Access Log,http_request: GET /wp-content/themes/go/dist/css/design-styles/style-traditional.min.css?ver=1.5.1 HTTP/1.1 from: 10.35.33.116 code: 200 referer: http://intranet.price.fox.org/ user_agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML  like Gecko) HeadlessChrome/95.0.4638.69 Safari/537.36,text/apache_access,OS:evidences\\apache2\\intranet.price.fox.org-access.log.5,-,http_request: GET /wp-content/themes/go/dist/css/design-styles/style-traditional.min.css?ver=1.5.1 HTTP/1.1 from: 10.35.33.116 code: 200 referer: http://intranet.price.fox.org/ user_agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML  like Gecko) HeadlessChrome/95.0.4638.69 Safari/537.36
3,2022-01-15T08:45:43+00:00,Recorded Time,LOG,Apache Access Log,http_request: GET /wp-content/themes/go/dist/css/style-shared.min.css?ver=1.5.1 HTTP/1.1 from: 10.35.33.116 code: 200 referer: http://intranet.price.fox.org/ user_agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML  like Gecko) HeadlessChrome/95.0.4638.69 Safari/537.36,text/apache_access,OS:evidences\\apache2\\intranet.price.fox.org-access.log.5,-,http_request: GET /wp-content/themes/go/dist/css/style-shared.min.css?ver=1.5.1 HTTP/1.1 from: 10.35.33.116 code: 200 referer: http://intranet.price.fox.org/ user_agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML  like Gecko) HeadlessChrome/95.0.4638.69 Safari/537.36
4,2022-01-15T10:22:14+00:00,Recorded Time,LOG,Apache Access Log,http_request: GET / HTTP/1.1 from: 10.35.32.164 code: 200 user_agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:86.0) Gecko/20100101 Firefox/86.0,text/apache_access,OS:evidences\\apache2\\intranet.price.fox.org-access.log.5,-,http_request: GET / HTTP/1.1 from: 10.35.32.164 code: 200 user_agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:86.0) Gecko/20100101 Firefox/86.0
5,2022-01-15T10:22:14+00:00,Recorded Time,LOG,Apache Access Log,http_request: GET /wp-content/themes/go/dist/css/design-styles/style-traditional.min.css?ver=1.5.1 HTTP/1.1 from: 10.35.32.164 code: 200 referer: http://intranet.price.fox.org/ user_agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:86.0) Gecko/20100101 Firefox/86.0,text/apache_access,OS:evidences\\apache2\\intranet.price.fox.org-access.log.5,-,http_request: GET /wp-content/themes/go/dist/css/design-styles/style-traditional.min.css?ver=1.5.1 HTTP/1.1 from: 10.35.32.164 code: 200 referer: http://intranet.price.fox.org/ user_agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:86.0) Gecko/20100101 Firefox/86.0
6,2022-01-18T12:37:49+00:00,Recorded Time,LOG,Apache Access Log,http_request: GET /wp-includes/js/tinymce/skins/wordpress/images/zope HTTP/1.1 from: 172.17.130.196 code: 404 user_agent: Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1),text/apache_access,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,-,http_request: GET /wp-includes/js/tinymce/skins/wordpress/images/zope HTTP/1.1 from: 172.17.130.196 code: 404 user_agent: Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
7,2022-01-18T12:37:49+00:00,Recorded Time,LOG,Apache Access Log,http_request: GET /wp-includes/js/tinymce/skins/wordpress/images/zorum HTTP/1.1 from: 172.17.130.196 code: 404 user_agent: Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1),text/apache_access,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,-,http_request: GET /wp-includes/js/tinymce/skins/wordpress/images/zorum HTTP/1.1 from: 172.17.130.196 code: 404 user_agent: Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
8,2022-01-18T12:37:49+00:00,Recorded Time,LOG,Apache Access Log,http_request: GET /wp-includes/js/tinymce/skins/wordpress/images/zt HTTP/1.1 from: 172.17.130.196 code: 404 user_agent: Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1),text/apache_access,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,-,http_request: GET /wp-includes/js/tinymce/skins/wordpress/images/zt HTTP/1.1 from: 172.17.130.196 code: 404 user_agent: Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
9,2022-01-18T12:38:00+00:00,Recorded Time,LOG,Apache Access Log,http_request: GET / HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1,text/apache_access,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,-,http_request: GET / HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1
10,2022-01-18T12:38:00+00:00,Recorded Time,LOG,Apache Access Log,http_request: GET /?p=5 HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1,text/apache_access,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,-,http_request: GET /?p=5 HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1
