event_id,datetime,display_name,decoded,label_predict,severity,group_count,low_event_ids
6,2022-01-18T12:37:49.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,http_request: GET /wp-includes/js/tinymce/skins/wordpress/images/zope HTTP/1.1 from: 172.17.130.196 code: 404 user_agent: Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1),Exploit Framework User Agent,high,3,6|7|8
9,2022-01-18T12:38:00.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,http_request: GET / HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1,HTTP Request with Suspicious User Agent,medium,3,9|10|11
12,2022-01-18T12:38:04.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJpZCJd HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""id""]]",Sysinfo Commands in HTTP Request,high,1,12
13,2022-01-18T12:38:06.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJuZXRzdGF0IiwgIi10Il0%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""netstat"", ""-t""]]",Network Commands in HTTP Request,high,1,13
14,2022-01-18T12:38:08.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJjYXQiLCAiL2V0Yy9yZXNvbHYuY29uZiJd HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""cat"", ""/etc/resolv.conf""]]",File Read Commands in HTTP Request,high,1,14
15,2022-01-18T12:38:09.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJpcCIsICJhZGRyIl0%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""ip"", ""addr""]]",Network Commands in HTTP Request,high,1,15
16,2022-01-18T12:38:11.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJwcyIsICItQSJd HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""ps"", ""-A""]]",Process Commands in HTTP Request,high,1,16
17,2022-01-18T12:38:14.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJsc2JfcmVsZWFzZSIsICItYSJd HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""lsb_release"", ""-a""]]",Filesystem Commands in HTTP Request,high,1,17
18,2022-01-18T12:38:16.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJjYXQiLCAiL2V0Yy9ncm91cCJd HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""cat"", ""/etc/group""]]",Local File Inclusion,high,2,18|19
20,2022-01-18T12:38:19.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJkYXRlIl0%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""date""]]",Time-Temporal Information Commands in HTTP Request,high,1,20
