event_id,datetime,display_name,decoded,ground_truth_label,label_predict,group_count,low_event_ids,status
6,2022-01-18T12:37:49.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,http_request: GET /wp-includes/js/tinymce/skins/wordpress/images/zope HTTP/1.1 from: 172.17.130.196 code: 404 user_agent: Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1),dirb_scan,Exploit Framework User Agent,3,6|7|8,TP
9,2022-01-18T12:38:00.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,http_request: GET / HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1,upload_rce_shell,HTTP Request with Suspicious User Agent,3,9|10|11,TP
12,2022-01-18T12:38:04.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJpZCJd HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""id""]]",check_user_id,Sysinfo Commands in HTTP Request,1,12,TP
13,2022-01-18T12:38:06.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJuZXRzdGF0IiwgIi10Il0%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""netstat"", ""-t""]]",check_netstat_t,Network Commands in HTTP Request,1,13,TP
14,2022-01-18T12:38:08.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJjYXQiLCAiL2V0Yy9yZXNvbHYuY29uZiJd HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""cat"", ""/etc/resolv.conf""]]",read_resolv,File Read Commands in HTTP Request,1,14,TP
15,2022-01-18T12:38:09.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJpcCIsICJhZGRyIl0%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""ip"", ""addr""]]",check_network_config,Network Commands in HTTP Request,1,15,TP
16,2022-01-18T12:38:11.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJwcyIsICItQSJd HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""ps"", ""-A""]]",check_ps_a,Process Commands in HTTP Request,1,16,TP
17,2022-01-18T12:38:14.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJsc2JfcmVsZWFzZSIsICItYSJd HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""lsb_release"", ""-a""]]",check_release,Filesystem Commands in HTTP Request,1,17,TP
18,2022-01-18T12:38:16.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJjYXQiLCAiL2V0Yy9ncm91cCJd HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""cat"", ""/etc/group""]]",read_group,Local File Inclusion,2,18|19,TP
19,2022-01-18T12:38:17.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJjYXQiLCAiL2V0Yy9wYXNzd2QiXQ%3D%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""cat"", ""/etc/passwd""]]",read_passwd,-,-,-,FN
